CLASS_STAR,PSF_e1,PSF_e2,scalelength,model_flux,MAG_u,MAG_g,MAG_r,MAG_i,MAG_z
0.0132332,-0.0064,0.0046,2.4472,15.9,24.8702,24.2102,23.2785,22.6707,22.1894
0.970105,-0.0061,-0.0096,0.0,8.2,,26.9178,25.4355,23.5091,22.7386
0.981527,-0.0006,-0.0266,0.0,42.7,25.8418,23.5983,22.4569,21.5527,21.1882
0.802372,-0.0045,-0.0091,0.5615,10.6,,26.5619,24.3544,23.0831,22.3473
0.923279,-0.0028,-0.0057,0.0,27.3,25.088,23.375,22.4698,22.0197,21.7624
0.00110901,-0.0011,-0.0053,2.385,6.9,24.5022,24.1741,24.029,23.6868,23.5549
0.384824,-0.0035,-0.0231,0.4273,5.7,24.3067,23.6147,23.4711,23.776,23.663
0.074948,-0.0025,-0.0386,1.1212,3.2,26.2962,25.2103,24.6308,24.3031,25.0337
0.335146,-0.0011,-0.0054,0.5161,3.6,25.7567,25.0191,24.6641,24.1434,23.6593
0.0861818,-0.0048,-0.0096,1.311,6.1,25.8018,25.1827,24.5989,23.8534,23.7751
0.506657,-0.0041,0.01,1.5689,3.2,25.6684,25.1988,25.2215,24.5728,24.2121
0.000251844,-0.0049,-0.0084,2.4042,11.1,23.9581,23.5762,23.3973,23.1782,22.9696
0.0854089,-0.0051,-0.0486,1.6373,5.6,24.8462,24.0847,23.9554,23.8642,23.7708
0.000492563,-0.0016,-0.0327,1.5194,6.6,24.5211,24.0565,23.84,23.7245,23.1551
0.296019,-0.0047,-0.0096,0.9445,3.6,26.2745,25.9012,24.9344,24.5052,24.2109
0.231562,-0.0029,-0.0073,0.7084,5.1,24.4891,24.2658,24.3612,23.8671,23.3974
0.156443,-0.0041,-0.0274,1.6229,8.4,,26.39,24.6454,23.3872,22.6516
0.0271899,-0.0041,-0.0174,1.8131,14.2,24.8843,24.1734,23.2128,22.8482,22.7291
0.0588914,-0.0064,-0.0108,0.9902,4.1,25.0431,24.7151,24.4869,24.1634,23.5494
0.0183361,-0.0045,-0.0429,1.8794,12.7,25.2243,24.5735,23.7612,22.9119,22.7388
0.0313881,-0.0026,-0.0099,1.4361,6.4,24.7762,24.4662,24.1189,23.5824,23.2341
0.569386,-0.0052,-0.0456,0.5392,3.8,25.5137,24.747,24.4889,24.2363,23.7135
0.48742,-0.005,-0.0085,0.8946,3.1,26.6996,26.5556,25.2091,24.6211,24.8948
0.106765,-0.0068,-0.0105,1.9938,6.8,26.0107,25.4998,24.4865,23.5805,23.395
0.482904,-0.0056,0.0059,1.7551,4.6,,25.5705,25.5051,24.6584,24.1786
0.979485,-0.0043,-0.0241,0.0,74.1,25.3971,23.0135,21.8629,20.9449,20.4515
0.00631659,-0.0064,0.0049,1.7729,8.0,24.7646,24.5025,23.9759,23.495,23.4779
0.642751,-0.0063,0.0064,1.7184,4.8,26.0342,25.5308,25.449,24.543,24.0058
